id,created_at,source,possibly_sensitive,lang,public_metrics,text,conversation_id,reply_settings,author_id,context_annotations,entities,geo,referenced_tweets,in_reply_to_user_id,attachments
1520270895809708037,2022-04-30T05:16:41.000Z,Twitter for iPhone,False,ja,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 315 6/6

🟨⬜⬜⬜⬜
⬜⬜⬜⬜🟨
🟨🟩⬜⬜⬜
⬜🟨🟨⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩
むずーー",1520270895809708037,everyone,1379661929518563329,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520270891300663296,2022-04-30T05:16:40.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle (ES)  #114 4/6

⬜🟨⬜⬜🟨
⬜🟩⬜🟨⬜
⬜🟩⬜🟨🟩
🟩🟩🟩🟩🟩
 https://t.co/xH5t7RGSBV",1520270891300663296,everyone,140005190,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 48, 'end': 71, 'url': 'https://t.co/xH5t7RGSBV', 'expanded_url': 'https://wordle.danielfrg.com/', 'display_url': 'wordle.danielfrg.com'}]}",{'place_id': '0b9876f86cd1a381'},,,
1520270844190068736,2022-04-30T05:16:29.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 315 5/6

⬛⬛⬛🟨🟨
🟨🟨⬛⬛⬛
⬛🟩⬛🟨🟨
⬛⬛🟩🟨⬛
🟩🟩🟩🟩🟩",1520270844190068736,everyone,30358416,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520270842650845184,2022-04-30T05:16:28.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 315 5/6

⬛🟨🟨⬛⬛
⬛⬛⬛⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩",1520270842650845184,everyone,1487280222567387140,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520270832051707904,2022-04-30T05:16:26.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 314 3/6

⬛⬛🟨🟩🟨
🟩🟩⬛🟩⬛
🟩🟩🟩🟩🟩",1520270832051707904,everyone,337186840,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520270817615130625,2022-04-30T05:16:22.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle (ES) #114 6/6

🟨⬛⬛🟨⬛
⬛🟨⬛⬛🟨
⬛🟩🟨🟨⬛
⬛🟩⬛🟨🟩
🟩🟩⬛⬛🟩
🟩🟩🟩🟩🟩

 https://t.co/w351AiFLPm",1520270817615130625,everyone,40524930,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]","{'urls': [{'start': 60, 'end': 83, 'url': 'https://t.co/w351AiFLPm', 'expanded_url': 'http://wordle.danielfrg.com', 'display_url': 'wordle.danielfrg.com', 'images': [{'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1521670739459411968/tTDycHOP?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Un juego de palabras diario', 'description': 'Adivina la palabra oculta en 6 intentos. Un nuevo puzzle cada día.', 'unwound_url': 'https://wordle.danielfrg.com/'}]}",,,,
1520270815123570693,2022-04-30T05:16:22.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 315 6/6

⬜⬜⬜⬜⬜
⬜⬜🟨⬜⬜
⬜🟩🟨🟨🟨
🟨🟩⬜🟨🟨
⬜🟩🟨⬜🟩
🟩🟩🟩🟩🟩",1520270815123570693,everyone,988097288034705408,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520270810941997056,2022-04-30T05:16:21.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","This was a hard one

Wordle 315 5/6

⬛🟨⬛⬛⬛
🟩⬛🟨🟨⬛
🟩⬛⬛🟨🟨
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩",1520270810941997056,everyone,1276518019892641797,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520270804780711941,2022-04-30T05:16:19.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","Wordle 315 5/6

⬜⬜⬜⬜⬜
🟩⬜⬜⬜⬜
🟩🟩⬜⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩",1520270804780711941,everyone,61365226,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520270787797823489,2022-04-30T05:16:15.000Z,Twitter for iPhone,False,it,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}","Wordle 315 2/6

🟩⬛🟨⬛🟨
🟩🟩🟩🟩🟩e che è???",1520270787797823489,everyone,937092980,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520270786506162179,2022-04-30T05:16:15.000Z,Twitter for Android,False,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Wordle 315 X/6

🟨⬜⬜🟨⬜
🟨⬜⬜⬜⬜
⬜🟩⬜🟨⬜
🟩⬜🟨🟨⬜
🟩🟩⬜⬜🟨
🟩🟩🟩⬜",1520270786506162179,everyone,1300806501666185218,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
1520270773008715776,2022-04-30T05:16:12.000Z,Twitter for iPhone,False,en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","Wordle 314 5/6

🟨🟨⬛🟩⬛
⬛🟩🟩🟩⬛
⬛🟩🟩🟩⬛
⬛🟩🟩🟩🟨
🟩🟩🟩🟩🟩",1520270773008715776,everyone,1504186778,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1480827185451573250', 'name': 'Wordle'}}]",,,,,
